LocationID,Borough,Zone,service_zone,neighborhood,,,,,
76,Brooklyn,East New York,Boro Zone,east-new-york-starrett-city,,,,tottenville-great-kills,
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,east-new-york-starrett-city,,,,,
80,Brooklyn,East Williamsburg,Boro Zone,greenpoint-williamsburg,,,,,
85,Brooklyn,Erasmus,Boro Zone,,,,,,
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,flatbush-midwood,,,,,
91,Brooklyn,Flatlands,Boro Zone,flatlands-canarsie,,,,,
97,Brooklyn,Fort Greene,Boro Zone,fort-greene-brooklyn-heights,,,,,
106,Brooklyn,Gowanus,Boro Zone,,,,,,
108,Brooklyn,Gravesend,Boro Zone,,,,,,
111,Brooklyn,Green-Wood Cemetery,Boro Zone,,,,,,
112,Brooklyn,Greenpoint,Boro Zone,greenpoint-williamsburg,,,,,
123,Brooklyn,Homecrest,Boro Zone,,,,,,
133,Brooklyn,Kensington,Boro Zone,,,,,,
149,Brooklyn,Madison,Boro Zone,,,,,,
150,Brooklyn,Manhattan Beach,Boro Zone,,,,,,
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,,,,,,
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,,,,,,
165,Brooklyn,Midwood,Boro Zone,flatbush-midwood,,,,,
177,Brooklyn,Ocean Hill,Boro Zone,,,,,,
178,Brooklyn,Ocean Parkway South,Boro Zone,,,,,,
181,Brooklyn,Park Slope,Boro Zone,park-slope-carroll-gardens,,,,,
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,south-crown-heights-lefferts-gardens,,,,,
189,Brooklyn,Prospect Heights,Boro Zone,crown-heights-prospect-heights,,,,,
190,Brooklyn,Prospect Park,Boro Zone,crown-heights-prospect-heights,,,,,
195,Brooklyn,Red Hook,Boro Zone,,,,,,
210,Brooklyn,Sheepshead Bay,Boro Zone,sheepshead-bay,,,,,
217,Brooklyn,South Williamsburg,Boro Zone,greenpoint-williamsburg,,,,,
222,Brooklyn,Starrett City,Boro Zone,east-new-york-starrett-city,,,,,
225,Brooklyn,Stuyvesant Heights,Boro Zone,bedford-stuyvesant,,,,,
227,Brooklyn,Sunset Park East,Boro Zone,sunset-park,,,,,
228,Brooklyn,Sunset Park West,Boro Zone,sunset-park,,,,,
255,Brooklyn,Williamsburg (North Side),Boro Zone,greenpoint-williamsburg,,,,,
256,Brooklyn,Williamsburg (South Side),Boro Zone,greenpoint-williamsburg,,,,,
257,Brooklyn,Windsor Terrace,Boro Zone,,,,,,
1,EWR,Newark Airport,EWR,,,,,,
4,Manhattan,Alphabet City,Yellow Zone,,,,,,
12,Manhattan,Battery Park,Yellow Zone,,,,,,
13,Manhattan,Battery Park City,Yellow Zone,,,,,,
24,Manhattan,Bloomingdale,Yellow Zone,,,,,,
41,Manhattan,Central Harlem,Boro Zone,central-harlem,,,,,
42,Manhattan,Central Harlem North,Boro Zone,central-harlem,,,,,
43,Manhattan,Central Park,Yellow Zone,,,,,,
45,Manhattan,Chinatown,Yellow Zone,lower-east-side-chinatown,,,,,
48,Manhattan,Clinton East,Yellow Zone,clinton-chelsea,,,,,
50,Manhattan,Clinton West,Yellow Zone,clinton-chelsea,,,,,
68,Manhattan,East Chelsea,Yellow Zone,clinton-chelsea,,,,,
74,Manhattan,East Harlem North,Boro Zone,east-harlem,,,,,
75,Manhattan,East Harlem South,Boro Zone,east-harlem,,,,,
79,Manhattan,East Village,Yellow Zone,,,,,,
87,Manhattan,Financial District North,Yellow Zone,financial-district,,,,,
88,Manhattan,Financial District South,Yellow Zone,financial-district,,,,,
90,Manhattan,Flatiron,Yellow Zone,,,,,,
100,Manhattan,Garment District,Yellow Zone,,,,,,
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,,,,,
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,,,,,
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,,,,,
107,Manhattan,Gramercy,Yellow Zone,,,,,,
113,Manhattan,Greenwich Village North,Yellow Zone,greenwich-village-soho,,,,,
114,Manhattan,Greenwich Village South,Yellow Zone,greenwich-village-soho,,,,,
116,Manhattan,Hamilton Heights,Boro Zone,morningside-heights-hamilton,,,,,
120,Manhattan,Highbridge Park,Boro Zone,,,,,,
125,Manhattan,Hudson Sq,Yellow Zone,,,,,,
127,Manhattan,Inwood,Boro Zone,washington-heights-inwood,,,,,
128,Manhattan,Inwood Hill Park,Boro Zone,washington-heights-inwood,,,,,
137,Manhattan,Kips Bay,Yellow Zone,,,,,,
140,Manhattan,Lenox Hill East,Yellow Zone,,,,,,
141,Manhattan,Lenox Hill West,Yellow Zone,,,,,,
142,Manhattan,Lincoln Square East,Yellow Zone,,,,,,
143,Manhattan,Lincoln Square West,Yellow Zone,,,,,,
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,,,,,,
148,Manhattan,Lower East Side,Yellow Zone,lower-east-side-chinatown,,,,,
151,Manhattan,Manhattan Valley,Yellow Zone,,,,,,
152,Manhattan,Manhattanville,Boro Zone,,,,,,
153,Manhattan,Marble Hill,Boro Zone,,,,,,
158,Manhattan,Meatpacking/West Village West,Yellow Zone,,,,,,
161,Manhattan,Midtown Center,Yellow Zone,midtown,,,,,
162,Manhattan,Midtown East,Yellow Zone,midtown,,,,,
163,Manhattan,Midtown North,Yellow Zone,midtown,,,,,
164,Manhattan,Midtown South,Yellow Zone,midtown,,,,,
166,Manhattan,Morningside Heights,Boro Zone,morningside-heights-hamilton,,,,,
170,Manhattan,Murray Hill,Yellow Zone,,,,,,
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,,,,,,
194,Manhattan,Randalls Island,Yellow Zone,,,,,,
202,Manhattan,Roosevelt Island,Boro Zone,,,,,,
209,Manhattan,Seaport,Yellow Zone,,,,,,
211,Manhattan,SoHo,Yellow Zone,greenwich-village-soho,,,,,
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,stuyvesant-town-turtle-bay,,,,,
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,stuyvesant-town-turtle-bay,,,,,
230,Manhattan,Times Sq/Theatre District,Yellow Zone,,,,,,
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,,,,,,
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,,,,,,
233,Manhattan,UN/Turtle Bay South,Yellow Zone,stuyvesant-town-turtle-bay,,,,,
234,Manhattan,Union Sq,Yellow Zone,,,,,,
236,Manhattan,Upper East Side North,Yellow Zone,upper-east-side,,,,,
237,Manhattan,Upper East Side South,Yellow Zone,upper-east-side,,,,,
238,Manhattan,Upper West Side North,Yellow Zone,upper-west-side,,,,,
239,Manhattan,Upper West Side South,Yellow Zone,upper-west-side,,,,,
243,Manhattan,Washington Heights North,Boro Zone,washington-heights-inwood,,,,,
244,Manhattan,Washington Heights South,Boro Zone,washington-heights-inwood,,,,,
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,clinton-chelsea,,,,,
249,Manhattan,West Village,Yellow Zone,,,,,,
261,Manhattan,World Trade Center,Yellow Zone,,,,,,
262,Manhattan,Yorkville East,Yellow Zone,,,,,,
263,Manhattan,Yorkville West,Yellow Zone,,,,,,
2,Queens,Jamaica Bay,Boro Zone,jamaica-hollis,,,,,
7,Queens,Astoria,Boro Zone,astoria,,,,,
8,Queens,Astoria Park,Boro Zone,astoria,,,,,
9,Queens,Auburndale,Boro Zone,,,,,,
10,Queens,Baisley Park,Boro Zone,,,,,,
15,Queens,Bay Terrace/Fort Totten,Boro Zone,,,,,,
16,Queens,Bayside,Boro Zone,bayside-little-neck,,,,,
19,Queens,Bellerose,Boro Zone,,,,,,
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,,,,,,
28,Queens,Briarwood/Jamaica Hills,Boro Zone,jamaica-hollis,,,,,
30,Queens,Broad Channel,Boro Zone,rockaway-broad-channel,,,,,
38,Queens,Cambria Heights,Boro Zone,,,,,,
53,Queens,College Point,Boro Zone,,,,,,
56,Queens,Corona,Boro Zone,elmhurst-corona,,,,,
57,Queens,Corona,Boro Zone,elmhurst-corona,,,,,
64,Queens,Douglaston,Boro Zone,,,,,,
70,Queens,East Elmhurst,Boro Zone,elmhurst-corona,,,,,
73,Queens,East Flushing,Boro Zone,flushing-whitestone,,,,,
82,Queens,Elmhurst,Boro Zone,elmhurst-corona,,,,,
83,Queens,Elmhurst/Maspeth,Boro Zone,ridgewood-maspeth,,,,,
86,Queens,Far Rockaway,Boro Zone,rockaway-broad-channel,,,,,
92,Queens,Flushing,Boro Zone,flushing-whitestone,,,,,
93,Queens,Flushing Meadows-Corona Park,Boro Zone,flushing-whitestone,,,,,
95,Queens,Forest Hills,Boro Zone,rego-park-forest-hills,,,,,
96,Queens,Forest Park/Highland Park,Boro Zone,rego-park-forest-hills,,,,,
98,Queens,Fresh Meadows,Boro Zone,hillcrest-fresh-meadows,,,,,
101,Queens,Glen Oaks,Boro Zone,,,,,,
102,Queens,Glendale,Boro Zone,,,,,,
117,Queens,Hammels/Arverne,Boro Zone,,,,,,
121,Queens,Hillcrest/Pomonok,Boro Zone,hillcrest-fresh-meadows,,,,,
122,Queens,Hollis,Boro Zone,jamaica-hollis,,,,,
124,Queens,Howard Beach,Boro Zone,south-ozone-park-howard-beach,,,,,
129,Queens,Jackson Heights,Boro Zone,jackson-heights,,,,,
130,Queens,Jamaica,Boro Zone,jamaica-hollis,,,,,
131,Queens,Jamaica Estates,Boro Zone,jamaica-hollis,,,,,
132,Queens,JFK Airport,Airports,,,,,,
134,Queens,Kew Gardens,Boro Zone,kew-gardens-woodhaven,,,,,
135,Queens,Kew Gardens Hills,Boro Zone,kew-gardens-woodhaven,,,,,
138,Queens,LaGuardia Airport,Airports,,,,,,
139,Queens,Laurelton,Boro Zone,,,,,,
145,Queens,Long Island City/Hunters Point,Boro Zone,,,,,,
146,Queens,Long Island City/Queens Plaza,Boro Zone,,,,,,
157,Queens,Maspeth,Boro Zone,ridgewood-maspeth,,,,,
160,Queens,Middle Village,Boro Zone,,,,,,
171,Queens,Murray Hill-Queens,Boro Zone,,,,,,
173,Queens,North Corona,Boro Zone,elmhurst-corona,,,,,
175,Queens,Oakland Gardens,Boro Zone,,,,,,
179,Queens,Old Astoria,Boro Zone,astoria,,,,,
180,Queens,Ozone Park,Boro Zone,,,,,,
191,Queens,Queens Village,Boro Zone,queens-village,,,,,
192,Queens,Queensboro Hill,Boro Zone,,,,,,
193,Queens,Queensbridge/Ravenswood,Boro Zone,,,,,,
196,Queens,Rego Park,Boro Zone,rego-park-forest-hills,,,,,
197,Queens,Richmond Hill,Boro Zone,,,,,,
198,Queens,Ridgewood,Boro Zone,ridgewood-maspeth,,,,,
201,Queens,Rockaway Park,Boro Zone,rockaway-broad-channel,,,,,
203,Queens,Rosedale,Boro Zone,,,,,,
205,Queens,Saint Albans,Boro Zone,,,,,,
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,woodside-sunnyside,,,,,
215,Queens,South Jamaica,Boro Zone,jamaica-hollis,,,,,
216,Queens,South Ozone Park,Boro Zone,south-ozone-park-howard-beach,,,,,
218,Queens,Springfield Gardens North,Boro Zone,,,,,,
219,Queens,Springfield Gardens South,Boro Zone,,,,,,
223,Queens,Steinway,Boro Zone,,,,,,
226,Queens,Sunnyside,Boro Zone,woodside-sunnyside,,,,,
252,Queens,Whitestone,Boro Zone,flushing-whitestone,,,,,
253,Queens,Willets Point,Boro Zone,,,,,,
258,Queens,Woodhaven,Boro Zone,kew-gardens-woodhaven,,,,,
260,Queens,Woodside,Boro Zone,woodside-sunnyside,,,,,
5,Staten Island,Arden Heights,Boro Zone,,,,,,
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,,,,,,
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,,,,,,
44,Staten Island,Charleston/Tottenville,Boro Zone,tottenville-great-kills,,,,,
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,,,,,,
99,Staten Island,Freshkills Park,Boro Zone,,,,,,
109,Staten Island,Great Kills,Boro Zone,tottenville-great-kills,,,,,
110,Staten Island,Great Kills Park,Boro Zone,tottenville-great-kills,,,,,
115,Staten Island,Grymes Hill/Clifton,Boro Zone,,,,,,
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,,,,,,
156,Staten Island,Mariners Harbor,Boro Zone,,,,,,
172,Staten Island,New Dorp/Midland Beach,Boro Zone,,,,,,
176,Staten Island,Oakwood,Boro Zone,,,,,,
187,Staten Island,Port Richmond,Boro Zone,,,,,,
204,Staten Island,Rossville/Woodrow,Boro Zone,,,,,,
206,Staten Island,Saint George/New Brighton,Boro Zone,st-george-stapleton,,,,,
214,Staten Island,South Beach/Dongan Hills,Boro Zone,south-beach-willowbrook,,,,,
221,Staten Island,Stapleton,Boro Zone,st-george-stapleton,,,,,
245,Staten Island,West Brighton,Boro Zone,,,,,,
251,Staten Island,Westerleigh,Boro Zone,,,,,,
264,Unknown,NV,N/A,,,,,,
265,Unknown,NA,N/A,,,,,,
